0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-cinthol.png HTTP/1.1" 200 19431
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-moisturiser.png HTTP/1.1" 200 19912
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-safety.png HTTP/1.1" 200 41833
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-agarbatti.png HTTP/1.1" 200 18349
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-candle.png HTTP/1.1" 200 41636
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-dustBin.png HTTP/1.1" 200 39592
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-hanger.png HTTP/1.1" 200 18922
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-petBowl.png HTTP/1.1" 200 45400
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-tailum.png HTTP/1.1" 200 19233
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-container.png HTTP/1.1" 200 34367
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-scrub.png HTTP/1.1" 200 46839
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-reindeer.png HTTP/1.1" 200 47541
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-cleaner.png HTTP/1.1" 200 8237
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/arr.png HTTP/1.1" 200 2912
